id,neighbourhood_cleansed,latitude,longitude,room_type,price,review_scores_rating
838943,Sherman Oaks,34.15791,-118.41551,Private room,61.0,4.91
839019,Venice,33.98675,-118.46251,Entire home/apt,126.0,4.72
734774,Harvard Heights,34.04245,-118.30607,Entire home/apt,170.0,4.91
734823,Venice,33.97758,-118.4612,Entire home/apt,115.0,4.83
737112,Venice,33.99736,-118.46766,Private room,120.0,4.93
738178,Altadena,34.17893,-118.13366,Private room,86.0,4.71
739983,Topanga,34.08025,-118.5981,Entire home/apt,310.0,4.72
743374,Pico-Robertson,34.05249,-118.39533,Private room,119.0,5.0
745011,North Hollywood,34.17056,-118.36234,Entire home/apt,116.0,4.88
746115,Hollywood Hills West,34.10057,-118.37408,Entire home/apt,203.0,4.9
913055,West Hills,34.19277447323954,-118.6349363057821,Entire home/apt,95.0,4.74
915336,Venice,33.99932,-118.45371,Entire home/apt,157.0,4.93
921737,Hollywood,34.09192,-118.33974,Entire home/apt,98.0,4.73
752388,Venice,33.98218,-118.4703,Entire home/apt,128.0,4.86
755565,Mar Vista,33.99849,-118.43987,Private room,78.0,4.88
755774,Venice,33.97528,-118.46168,Entire home/apt,300.0,4.95
761629,Culver City,34.00961,-118.40798,Entire home/apt,198.0,4.8
761630,Culver City,34.00952,-118.40946,Entire home/apt,321.0,4.75
770046,Hollywood,34.09351,-118.32837,Entire home/apt,155.0,4.85
839546,Montecito Heights,34.08099,-118.20263,Entire home/apt,315.0,4.67
840496,Long Beach,33.76572,-118.17947,Entire home/apt,129.0,4.95
840797,Echo Park,34.0798,-118.2685,Entire home/apt,318.0,4.91
840959,Culver City,33.99820327758789,-118.3915023803711,Entire home/apt,144.0,4.97
844214,Silver Lake,34.09361,-118.27665,Entire home/apt,124.0,4.87
844240,Manhattan Beach,33.89067,-118.41283,Entire home/apt,1799.0,4.2
844353,Sherman Oaks,34.13048,-118.46677,Entire home/apt,605.0,4.88
844386,Playa del Rey,33.95116,-118.4451,Entire home/apt,625.0,4.9
845476,Downtown,34.04734,-118.23624,Private room,45.0,4.55
921738,West Hollywood,34.09325,-118.35739,Entire home/apt,112.0,4.6
921828,Santa Monica,33.99924087524414,-118.47870635986328,Entire home/apt,459.0,5.0
925303,Hollywood Hills,34.11428,-118.3145,Entire home/apt,175.0,4.75
932354,Venice,33.994068,-118.46257,Entire home/apt,170.0,4.93
848816,Valley Village,34.16815,-118.39238,Private room,64.0,5.0
849360,Silver Lake,34.09386,-118.27895,Entire home/apt,436.0,4.85
851978,Long Beach,33.77555,-118.19571,Entire home/apt,100.0,4.41
852580,Mid-Wilshire,34.0574,-118.35775,Private room,69.0,4.93
854258,Pasadena,34.17753,-118.13531,Private room,86.0,4.56
771025,Downtown,34.04863,-118.25006,Entire home/apt,152.0,4.84
776201,Arlington Heights,34.04795,-118.31315,Shared room,36.0,4.72
776555,Lomita,33.79112,-118.32483,Entire home/apt,121.0,4.9
781313,Pasadena,34.16283,-118.13643,Private room,100.0,4.92
789243,Koreatown,34.06102,-118.29926,Entire home/apt,119.0,4.44
797642,Downtown,34.04827,-118.23603,Private room,41.0,4.41
934609,Hancock Park,34.08267,-118.34311,Entire home/apt,100.0,4.61
937869,Woodland Hills,34.14954,-118.5951,Private room,115.0,4.94
797694,Downtown,34.04827,-118.23603,Private room,41.0,4.61
797923,Lakewood,33.84515,-118.1563,Private room,60.0,4.79
1045863,Sawtelle,34.04233,-118.46441,Entire home/apt,229.0,5.0
1046293,Sherman Oaks,34.17007,-118.46056,Private room,70.0,4.91
1054981,Venice,33.99284,-118.46732,Entire home/apt,421.0,4.97
1055976,Santa Monica,34.02778,-118.49294,Entire home/apt,125.0,4.65
1056045,Santa Monica,34.02924,-118.49325,Entire home/apt,135.0,4.65
860446,Santa Monica,34.02715,-118.49267,Private room,102.0,4.59
862186,Reseda,34.19134,-118.52282,Entire home/apt,223.0,4.98
868801,Santa Monica,34.01099,-118.47314,Entire home/apt,145.0,4.95
869587,Redondo Beach,33.8733,-118.37391,Entire home/apt,164.0,4.89
872348,Topanga,34.09906,-118.59798,Entire home/apt,175.0,5.0
882158,Mid-City,34.03424,-118.3732,Entire home/apt,105.0,4.8
882333,Fairfax,34.0869,-118.34993,Entire home/apt,95.0,4.72
939688,Malibu,34.03309,-118.74573,Entire home/apt,1308.0,4.85
883681,East Los Angeles,34.0546,-118.17869,Entire home/apt,938.0,4.79
884715,Harbor City,33.7874,-118.2981,Entire home/apt,250.0,4.0
890924,North Hollywood,34.1795,-118.37155,Private room,50.0,4.84
893506,Lincoln Heights,34.07695,-118.20819,Private room,75.0,4.83
895309,Pasadena,34.15816,-118.1414,Entire home/apt,117.0,4.87
898252,Altadena,34.21181,-118.16425,Entire home/apt,158.0,4.86
939739,Topanga,34.08871,-118.59569,Entire home/apt,242.0,4.75
1056743,Echo Park,34.08066,-118.25865,Entire home/apt,95.0,4.83
1058616,Manhattan Beach,33.89661,-118.41484,Entire home/apt,400.0,4.83
1069246,Santa Monica,33.99728,-118.48254,Entire home/apt,320.0,5.0
1074732,Venice,33.99845,-118.47759,Entire home/apt,155.0,4.93
1083801,Hollywood Hills,34.10581,-118.33976,Entire home/apt,314.0,4.69
1084610,Alhambra,34.07838,-118.11331,Private room,45.0,4.0
945586,Hollywood Hills West,34.102699,-118.360073,Entire home/apt,818.0,4.94
945663,Hancock Park,34.06461,-118.34185,Entire home/apt,950.0,4.88
948999,Long Beach,33.83315,-118.18019,Private room,144.0,4.86
1090564,Los Feliz,34.10012,-118.27413,Entire home/apt,95.0,4.78
1092952,Echo Park,34.08678,-118.24957,Entire home/apt,94.0,4.8
1095376,Echo Park,34.07832,-118.270523,Entire home/apt,100.0,4.78
1097756,Woodland Hills,34.14807,-118.59683,Entire home/apt,243.0,4.99
1101477,Pasadena,34.16141,-118.10509,Private room,80.0,4.92
899909,Downtown,34.04935,-118.23554,Private room,45.0,4.62
900567,Palms,34.02675,-118.40067,Entire home/apt,95.0,4.61
900915,West Hollywood,34.07688,-118.3854,Private room,107.0,5.0
902024,South Pasadena,34.1129,-118.15583,Entire home/apt,111.0,4.88
902788,Altadena,34.18314,-118.1522,Private room,71.0,4.97
907295,Hollywood Hills,34.10599,-118.31835,Private room,150.0,5.0
